335987,2,1,1,2,1,1
335988,4,3,1,3,0,3
335989,6,5,1,5,0,6
335990,7,2,1,7,0,2
335991,1,8,1,8,0,1
335992,5,4,1,4,0,5
335993,8,6,1,8,0,6
335994,3,7,1,7,1,3
335995,8,5,1,5,1,5
335996,4,7,1,7,1,4
335997,2,5,1,5,1,5
335998,3,1,1,1,0,3
335999,7,8,1,8,1,8
336000,4,6,1,6,0,4
336001,2,3,1,3,0,3
336002,1,7,1,1,0,7
336003,6,2,1,2,1,6
336004,8,4,1,4,1,4
336005,5,1,1,5,0,5
336006,3,6,1,3,0,6
336007,8,2,1,8,0,2
336008,4,1,1,4,0,4
336009,7,6,1,6,1,7
336010,5,3,1,3,0,5
336011,2,4,1,4,1,4
336012,3,8,1,8,1,8
336013,7,5,1,7,1,7
336014,6,3,1,3,1,3
336015,1,2,1,1,0,1
336016,5,8,1,5,1,5
336017,2,7,1,7,1,7
336018,3,4,1,4,1,3
336019,8,1,1,1,0,1
336020,5,6,1,5,1,5
336021,4,2,1,2,0,4
336022,1,6,1,1,0,1
336023,7,3,1,7,1,7
336024,4,5,1,5,1,4
336025,6,8,1,8,1,6
336026,7,1,1,7,1,7
336027,6,4,1,6,0,4
336028,5,2,1,2,1,5
336029,8,7,1,8,1,7
336030,1,3,1,1,0,3
336031,2,6,1,6,1,6
336032,1,5,1,5,1,5
336033,7,4,1,7,1,4
336034,3,2,1,2,0,2
336036,4,8,1,4,1,4
336037,6,7,1,6,1,6
336038,3,5,1,5,0,5
336039,2,8,1,8,1,2
336040,1,4,1,4,0,1
336041,5,7,1,5,1,5
336042,8,3,1,8,0,3
336043,6,5,1,6,1,5
336044,3,4,1,4,0,3
336045,3,5,1,5,1,5
392186,3,7,2,3,1,7
392187,2,5,2,2,0,2
392188,6,4,2,6,1,6
392189,8,1,2,1,0,8
392190,2,3,2,3,0,3
392191,4,1,2,1,1,1
392193,2,8,2,8,0,8
392194,3,6,2,6,0,6
392195,1,5,2,1,1,5
392196,2,4,2,2,0,4
392197,8,7,2,8,0,8
392199,2,6,2,2,0,6
392200,4,5,2,4,0,4
392201,3,8,2,8,1,8
392202,1,7,2,7,0,7
392203,6,5,2,6,0,5
392204,2,1,2,1,0,2
392205,4,7,2,4,0,4
392206,8,6,2,6,1,6
392207,3,5,2,5,1,3
392208,1,7,2,7,0,7
392209,2,4,2,2,0,2
392210,8,5,2,8,0,5
392211,3,6,2,6,1,3
392212,4,1,2,1,0,4
392213,2,7,2,7,0,2
392214,3,8,2,3,0,3
392215,4,5,2,4,1,5
392216,6,1,2,1,0,6
392217,8,7,2,8,0,8
392218,2,5,2,5,1,5
392219,3,4,2,3,0,3
392220,6,7,2,7,0,6
392221,8,4,2,4,1,4
392222,3,5,2,5,0,3
392223,2,7,2,7,0,7
392224,6,1,2,6,1,6
392225,8,5,2,8,0,8
392226,2,1,2,2,1,2
392227,4,7,2,4,0,7
392228,8,6,2,8,1,6
392229,2,3,2,3,0,2
392230,7,5,2,5,0,5
392231,6,4,2,4,1,4
392232,3,7,2,7,0,3
392233,8,1,2,8,1,8
392234,8,4,2,8,1,4
392235,6,5,2,6,0,6
392236,3,1,2,3,0,1
392237,2,6,2,6,0,2
392238,1,5,2,1,1,1
392239,3,4,2,3,0,3
392240,6,7,2,6,1,6
392241,2,8,2,2,0,2
392242,6,8,2,8,1,8
392243,2,3,2,2,1,2
392244,2,8,2,2,1,8
